filepath,filename,astride_detected,num_detected,gt_has_streak,detection_acceptable,outcome
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00001.fits,SL1482-NORAD45773_00001.fits,0,0,0,,TN (correctly no streak)
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00002.fits,SL1482-NORAD45773_00002.fits,0,0,0,,TN (correctly no streak)
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00003.fits,SL1482-NORAD45773_00003.fits,0,0,0,,TN (correctly no streak)
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00004.fits,SL1482-NORAD45773_00004.fits,0,0,0,,TN (correctly no streak)
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00005.fits,SL1482-NORAD45773_00005.fits,1,1,1,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00006.fits,SL1482-NORAD45773_00006.fits,1,1,1,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00007.fits,SL1482-NORAD45773_00007.fits,1,1,1,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00008.fits,SL1482-NORAD45773_00008.fits,1,1,1,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00009.fits,SL1482-NORAD45773_00009.fits,1,1,1,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/false_positive/input/SL1482-NORAD45773/20_36_58/SL1482-NORAD45773_00010.fits,SL1482-NORAD45773_00010.fits,1,1,1,1,"TP_ACCEPT (detected streak, acceptable)"
